index_id,"Toxicity to environmental bacteria (EPA Microtox test), -log10 of Conc.(mg/kg)",SMILES
186,4.194626651,Nc1ccc(cc1)N=Nc2ccccc2
187,4.19274396,COc1ccc(Br)cc1
188,4.186224864,Cc1cc(O)cc(C)c1Cl
189,4.182748276,COc1ccc(cc1)C(Cl)=O
190,4.174984979,OC(c1ccccc1)(c2ccccc2)c3ccccc3
191,4.173991047,CC1=C(C)C(=O)C(C)=C(C)C1=O
192,4.167112965,Cc1ccnc2c(C)cccc12
193,4.155263626,Clc1cc(Cl)c(Cl)c(Cl)c1
194,4.152764835,Nc1ccccc1SC(F)(F)C(F)Cl
195,4.151806377,Oc1ccccc1c2ccccc2
196,4.148164869,Clc1ccc(Cl)c(Cl)c1
197,4.1457401,ClCC(Cl)(Cl)Cl
198,4.144654026,N#CCSCc1ccccc1
199,4.142681015,FC(F)(F)c1ccc(Br)cc1
200,4.13639667,CC1C(OC(C)=O)C2OC2C3=CC(=O)C4(CC13C)OC4(C)C=O
201,4.118858104,Nc1ccc(O)cc1
202,4.116953825,COC1C(OC(N)=O)C(O)C(Oc2ccc3C(O)=C(NC(=O)c4ccc(O)c(CC=C(C)C)c4)C(=O)Oc3c2C)OC1(C)C
203,4.116269724,FC(F)(F)C(=O)CC(=O)c1ccc[s]1
204,4.105024849,CNC(=O)Oc1cccc2ccccc12
205,4.104868001,Nc1ccc(Cl)cc1N
206,4.104326543,Clc1ccc(c(Cl)c1)N(=O)=O
207,4.104140488,ClCc1ccc(cc1)N(=O)=O
208,4.100986605,c1ccc(cc1)c2ccncc2
209,4.088409494,COc1cc(ccc1O)C=NN=Cc2ccc(O)c(OC)c2
210,4.086402263,OCc1ccc(cc1)c2ccccc2
211,4.086335559,ClC(Cl)c1ccccc1
212,4.085554991,Nc1c(Cl)cc(cc1Cl)N(=O)=O
213,4.076671144,Clc1ccc2c(Cl)ccnc2c1
214,4.07558888,OCc1ccc(cc1)C(F)(F)F
215,4.071383362,CCOP(=S)(CC)Sc1ccccc1
216,4.065960794,CC(C)(C)c1cc(O)c(cc1O)C(C)(C)C
217,4.062834061,Nc1cc(Cl)c(Cl)c(Cl)c1
218,4.057690377,Cc1ccc(Cl)cc1Cl
219,4.04727763,Cc1cc(C)c2ncccc2c1
220,4.045326239,Nc1nnc(S)[s]1
221,4.042204114,FC(F)(F)c1cc(Br)ccc1N(=O)=O
222,4.040066486,N=C1Nc2ccc(cc2S1)N(=O)=O
223,4.036312199,Nc1c2cccnc2ccc1N(=O)=O
224,4.032040061,Nc1ccc(Oc2ccc(N)cc2)cc1
225,4.026995699,Ic1ccc(cc1)N(=O)=O
226,4.024519874,ClCC(=O)CCl
227,4.023675134,CC#Cc1ccccc1
228,4.019234249,Nc1cccc(Cl)c1Cl
229,4.008361567,N(c1ccccc1)c2ccccc2
230,4.006905351,CCC(C)N1C(=O)NC(C)=C(Br)C1=O
231,4.004895813,CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O
232,4.000614012,c1ccc2[s]cnc2c1
233,3.99056083,c1ccc2cnccc2c1
234,3.985103552,Nc1ccc(cc1)S(=O)(=O)c2ccc(cc2)N(=O)=O
235,3.981408869,Sc1ccccc1
236,3.980874534,O=N(=O)c1cccc2cnccc21
237,3.977137117,Fc1ccc(I)cc1
238,3.977126404,Clc1cc(Cl)c(Cl)c(c1Cl)N(=O)=O
239,3.97283115,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C
240,3.968552237,Oc1cccc2ccccc12
241,3.965577958,Cc1ccc2ncccc2c1
242,3.95815629,N#CCc1ccccc1
243,3.957744727,ClSc1ccccc1N(=O)=O
244,3.954739251,O=C1c2ccccc2c3ccccc13
245,3.953044876,COc1ccc(Cl)c(c1)N(=O)=O
246,3.952838867,Nc1c(Cl)cc(Cl)cc1Cl
